0078_01,0045_01,0439_01,1,3,n000003,n000005
0089_01,0033_01,0166_01,2,0,n000004,n000002
0117_01,0083_01,0237_01,1,2,n000003,n000004
0379_01,0259_01,0116_02,2,1,n000004,n000003
0182_01,0235_01,0255_02,0,2,n000002,n000004
0149_01,0057_04,0015_01,2,1,n000004,n000003
0396_01,0127_01,0102_02,3,0,n000005,n000002
0124_01,0101_01,0209_01,2,0,n000004,n000002
0113_01,0092_01,0074_01,2,3,n000004,n000005
0070_01,0119_02,0268_01,1,0,n000003,n000002
0420_01,0096_01,0102_01,3,0,n000005,n000002
0129_01,0159_01,0146_01,3,2,n000005,n000004
0105_01,0060_01,0033_01,1,0,n000003,n000002
0235_01,0039_01,0401_01,0,3,n000002,n000005
0002_01,0320_01,0074_01,0,3,n000002,n000005
0156_01,0019_01,0076_01,2,1,n000004,n000003
0192_01,0397_01,0008_01,3,1,n000005,n000003
0124_03,0222_01,0112_02,1,3,n000003,n000005
0152_01,0114_02,0327_01,1,0,n000003,n000002
0168_02,0020_01,0045_01,1,2,n000003,n000004
0214_01,0394_01,0300_02,2,0,n000004,n000002
0246_01,0140_01,0064_01,0,3,n000002,n000005
0202_01,0143_01,0284_02,1,3,n000003,n000005
0157_02,0175_04,0078_01,1,3,n000003,n000005
0274_01,0236_01,0265_01,0,2,n000002,n000004
0258_01,0070_01,0120_01,0,2,n000002,n000004
0040_01,0034_01,0182_02,1,2,n000003,n000004
0096_01,0001_01,0231_01,3,1,n000005,n000003
0147_02,0035_01,0174_01,1,3,n000003,n000005
0244_01,0025_01,0395_01,3,2,n000005,n000004
0021_01,0030_01,0095_04,3,1,n000005,n000003
0246_01,0174_01,0163_02,1,3,n000003,n000005
0205_01,0031_03,0164_02,0,1,n000002,n000003
0112_01,0003_01,0407_01,2,3,n000004,n000005
0072_02,0110_01,0252_01,1,2,n000003,n000004
0422_01,0186_01,0244_02,3,1,n000005,n000003
0250_01,0090_01,0246_01,2,0,n000004,n000002
0400_01,0019_02,0268_01,3,0,n000005,n000002
0225_01,0129_01,0323_01,2,0,n000004,n000002
0194_03,0157_02,0031_04,3,0,n000005,n000002
0055_01,0141_01,0401_01,1,2,n000003,n000004
0082_01,0111_01,0233_01,1,3,n000003,n000005
0179_01,0107_01,0316_01,3,0,n000005,n000002
0151_01,0082_01,0025_01,1,3,n000003,n000005
0451_01,0207_01,0394_01,3,2,n000005,n000004
0209_01,0241_01,0014_01,3,1,n000005,n000003
0204_01,0113_01,0122_06,2,1,n000004,n000003
0057_01,0194_04,0320_01,1,2,n000003,n000004
0042_01,0079_01,0178_01,0,2,n000002,n000004
0084_01,0150_03,0033_01,0,3,n000002,n000005
0154_01,0291_01,0114_02,3,1,n000005,n000003
0087_01,0103_01,0028_01,1,0,n000003,n000002
0049_01,0009_01,0035_01,3,1,n000005,n000003
0275_01,0390_01,0168_01,2,3,n000004,n000005
0133_01,0034_01,0149_01,1,3,n000003,n000005
0097_01,0076_01,0012_01,0,1,n000002,n000003
0227_01,0249_01,0403_01,1,2,n000003,n000004
0086_01,0050_01,0451_01,1,3,n000003,n000005
0008_01,0034_01,0012_01,3,2,n000005,n000004
0181_01,0206_01,0262_01,2,0,n000004,n000002
0149_01,0102_01,0293_01,0,2,n000002,n000004
0003_01,0029_01,0107_01,1,3,n000003,n000005
0136_01,0064_02,0379_01,1,2,n000003,n000004
0033_01,0107_01,0075_02,3,1,n000005,n000003
0003_01,0026_01,0188_05,0,2,n000002,n000004
0302_01,0220_01,0139_02,0,1,n000002,n000003
0130_01,0109_01,0384_02,1,2,n000003,n000004
0090_01,0112_02,0228_01,3,0,n000005,n000002
0220_02,0021_01,0045_01,1,2,n000003,n000004
0143_01,0383_01,0218_01,2,0,n000004,n000002
0146_01,0185_01,0121_01,3,1,n000005,n000003
0076_01,0152_02,0234_01,3,2,n000005,n000004
0066_01,0072_02,0240_01,1,3,n000003,n000005
0123_02,0038_01,0315_01,1,0,n000003,n000002
0065_01,0140_01,0402_01,3,2,n000005,n000004
0193_01,0333_01,0099_03,2,1,n000004,n000003
0439_01,0128_01,0129_01,3,0,n000005,n000002
0013_01,0143_01,0194_04,3,1,n000005,n000003
0051_01,0122_01,0030_01,3,1,n000005,n000003
0008_01,0150_01,0105_01,1,3,n000003,n000005
0082_01,0262_01,0060_01,2,0,n000004,n000002
0130_01,0055_01,0025_01,0,1,n000002,n000003
0227_02,0015_01,0015_01,0,3,n000002,n000005
0201_01,0064_02,0016_01,1,3,n000003,n000005
0059_03,0075_02,0101_01,1,3,n000003,n000005
0306_01,0123_01,0184_01,2,0,n000004,n000002
0006_01,0129_01,0125_01,3,0,n000005,n000002
0063_01,0087_01,0340_01,3,2,n000005,n000004
0159_01,0222_01,0061_01,1,0,n000003,n000002
0090_01,0089_01,0029_01,0,3,n000002,n000005
0196_01,0109_02,0182_01,2,3,n000004,n000005
0013_01,0113_02,0229_02,1,2,n000003,n000004
0138_01,0125_01,0390_01,1,2,n000003,n000004
0048_01,0111_01,0083_01,2,1,n000004,n000003
0241_02,0090_01,0176_02,0,3,n000002,n000005
0451_01,0102_01,0018_03,3,0,n000005,n000002
0204_01,0031_03,0015_01,0,3,n000002,n000005
0096_02,0162_01,0156_01,1,2,n000003,n000004
0103_01,0218_01,0045_01,3,0,n000005,n000002
0172_01,0065_02,0031_02,2,1,n000004,n000003
0216_01,0135_01,0171_03,0,2,n000002,n000004
0244_01,0079_01,0125_01,3,0,n000005,n000002
0101_01,0072_02,0138_01,1,0,n000003,n000002
0146_01,0103_01,0085_01,0,1,n000002,n000003
0038_02,0206_01,0350_01,1,3,n000003,n000005
